EndDate,EventID,Other,RoadName,StartDate,SvcDept
2016-05-31,RMINRM-201604-0592,"For details, please call 67095283",OUTRAM ROAD (Bus Lane Affected),2016-05-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0589,"For details, please call 67095283",OUTRAM ROAD (Bus Lane Affected),2016-05-01,LAND TRANSPORT AUTHORITY
2016-06-07,RMINRM-201605-0160,"For details, please call",PAN ISLAND EXPRESSWAY,2016-05-07,LAND TRANSPORT AUTHORITY
2016-06-07,RMINRM-201605-0093,"For details, please call",PAN ISLAND EXPRESSWAY,2016-05-07,LAND TRANSPORT AUTHORITY
2016-06-07,RMINRM-201605-0149,"For details, please call",PAN ISLAND EXPRESSWAY,2016-05-07,LAND TRANSPORT AUTHORITY
2016-06-07,RMINRM-201605-0150,"For details, please call",PAN ISLAND EXPRESSWAY,2016-05-07,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0062,"For details, please call 65551557",PAN ISLAND EXPRESSWAY,2016-05-02,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0606,"For details, please call 67633825(SITE)",PAN ISLAND EXPRESSWAY,2016-05-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201603-0950,"For details, please call",PAN ISLAND EXPRESSWAY,2016-05-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201603-0353,"For details, please call 63961384",PAN ISLAND EXPRESSWAY,2016-04-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201603-0356,"For details, please call 63961384",PAN ISLAND EXPRESSWAY,2016-04-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201603-0355,"For details, please call 63961384",PAN ISLAND EXPRESSWAY,2016-04-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201603-0354,"For details, please call 63961384",PAN ISLAND EXPRESSWAY,2016-04-01,LAND TRANSPORT AUTHORITY
2016-06-14,RMINRM-201512-0712,"For details, please call",PAN ISLAND EXPRESSWAY,2015-12-28,LAND TRANSPORT AUTHORITY
2016-06-25,RMINRM-201604-0347,"For details, please call 67633825(SITE)",PASIR PANJANG ROAD,2016-04-25,LAND TRANSPORT AUTHORITY
2017-03-02,RMINRM-201504-0153,"For details, please call 6295 7346",PASIR RIS DRIVE 3,2015-04-13,LAND TRANSPORT AUTHORITY
2018-12-31,RMINRM-201601-0115,"For details, please call 62616287",PASIR RIS STREET 53,2016-01-06,LAND TRANSPORT AUTHORITY
2016-07-31,RMINRM-201603-0818,"For details, please call 6517 0369",PATERSON ROAD (Bus Lane Affected),2016-04-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0685,"For details, please call 66718408",PAYA LEBAR ROAD (Bus Lane Affected),2016-05-01,LAND TRANSPORT AUTHORITY
2016-07-08,RMINRM-201604-0122,"For details, please call 63961386",PECK SEAH STREET,2016-04-08,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201605-0005,"For details, please call 6332 6505",PETIR ROAD,2016-05-04,LAND TRANSPORT AUTHORITY
2016-08-21,RMINRM-201602-0308,"For details, please call 6396 1337",PETIR ROAD,2016-02-22,LAND TRANSPORT AUTHORITY
2016-08-31,RMINRM-201604-0758,"For details, please call",PIONEER ROAD,2016-05-16,LAND TRANSPORT AUTHORITY
2016-10-31,RMINDL-201604-0017,"For details, please call 63328174",PIONEER ROAD NORTH,2016-05-02,LAND TRANSPORT AUTHORITY
2016-10-31,RMINRM-201604-0117,"For details, please call 63328174",PIONEER ROAD NORTH,2016-05-02,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0781,"For details, please call",PIONEER SECTOR 1,2016-04-30,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0779,"For details, please call",PIONEER SECTOR 1,2016-04-30,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0783,"For details, please call",PIONEER SECTOR 2,2016-04-30,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0782,"For details, please call",PIONEER SECTOR 2,2016-04-30,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201511-0801,"For details, please call 6396 1337",PIONEER VIEW,2015-12-01,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201603-0441,"For details, please call 62957407",PORTSDOWN ROAD,2016-03-21,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201603-0442,"For details, please call 62957407",PORTSDOWN ROAD,2016-03-21,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201603-0435,"For details, please call 62957407",PORTSDOWN ROAD,2016-03-21,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201603-0463,"For details, please call 62957407",PORTSDOWN ROAD,2016-03-21,LAND TRANSPORT AUTHORITY
2016-08-26,RMINRM-201603-0544,"For details, please call",PUNGGOL DRIVE,2016-03-17,LAND TRANSPORT AUTHORITY
2016-08-26,RMINRM-201603-0537,"For details, please call",PUNGGOL DRIVE,2016-03-17,LAND TRANSPORT AUTHORITY
2016-08-26,RMINRM-201603-0536,"For details, please call",PUNGGOL DRIVE,2016-03-17,LAND TRANSPORT AUTHORITY
2016-12-31,RMINRM-201604-0104,"For details, please call 63126281",PUNGGOL EAST,2016-04-07,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201604-0008,"For details, please call 63126281",PUNGGOL EAST,2016-04-01,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201602-0454,"For details, please call 63126281",PUNGGOL EAST,2016-03-01,LAND TRANSPORT AUTHORITY
2016-06-20,RMINRM-201512-0559,"For details, please call",PUNGGOL EAST,2015-12-21,LAND TRANSPORT AUTHORITY
2016-07-30,RMINRM-201603-0655,"For details, please call 63328174",PUNGGOL FIELD,2016-04-15,LAND TRANSPORT AUTHORITY
2016-07-30,RMINDL-201603-0049,"For details, please call 63328174",PUNGGOL FIELD,2016-04-15,LAND TRANSPORT AUTHORITY
2017-12-30,RMINRM-201603-0559,"For details, please call",PUNGGOL PLACE,2016-03-21,LAND TRANSPORT AUTHORITY
2016-06-27,RMINRM-201512-1030,"For details, please call",PUNGGOL ROAD,2015-12-28,LAND TRANSPORT AUTHORITY
